model,n_test,auc_roc,auc_ci,sensitivity,specificity,ppv,npv,f1,accuracy,brier_score,ece,threshold_youden
SwinUNETR Linear-Probe,24,0.8526315789473684,[0.674-0.979],0.7894736841689751,0.9999999998,0.9999999999333332,0.5555555554938272,0.8823529411764706,0.8333333333333334,0.13769902701001185,0.17363281041666662,0.8094790577888489
SegFormer3D-MSCA,24,0.8210526315789474,[0.591-0.989],0.7894736841689751,0.79999999984,0.9374999999414062,0.4999999999375,0.8571428571428571,0.7916666666666666,0.15181600563040681,0.17316388249999998,0.6840029954910278
Attention-SwinUNETR,24,0.8210526315789473,[0.624-0.968],0.8421052631135734,0.79999999984,0.941176470532872,0.5714285713469388,0.8888888888888888,0.8333333333333334,0.13278083544891386,0.07877867583333327,0.7059429883956909
MAE-TinyTransformer3D,24,0.7578947368421052,[0.553-0.926],0.63157894733518,0.9999999998,0.9999999999166668,0.4166666666319444,0.7741935483870968,0.7083333333333334,0.13708588279010003,0.04347527208333341,0.7712994813919067
