fold,threshold,auc_roc,auc_pr,accuracy,balanced_accuracy,sensitivity,specificity,ppv,npv,f1,composite,tp,tn,fp,fn,auc_ci_lo,auc_ci_hi,sens_ci_lo,sens_ci_hi,spec_ci_lo,spec_ci_hi,ppv_ci_lo,ppv_ci_hi,npv_ci_lo,npv_ci_hi,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,threshold_used
Fold 1,0.762346625328064,0.8421052631578947,0.9620218308930221,0.7916666666666666,0.868421052631579,0.7368421052243768,0.9999999998,0.9999999999285715,0.49999999995,0.8484848484848485,0.8305422647092177,14,5,0,5,0.6560530462184874,0.9789473684210527,0.5238095237845805,0.9374999999414062,0.9999999995,0.9999999998888889,0.9999999998888889,0.9999999999473684,0.19999999998,0.8219696968791896,0.625,0.9583333333333334,0.6874999999785157,0.9677419354526535,0.762346625328064
Fold 2,0.9842424392700195,0.7263157894736841,0.9280905608204033,0.625,0.763157894736842,0.5263157894459833,0.9999999998,0.9999999999,0.35714285711734695,0.6896551724137931,0.6882032667479635,10,5,0,9,0.48750000000000004,0.9209449404761905,0.303260869551543,0.7499999999554687,0.9999999995,0.9999999998888889,0.9999999998,0.9999999999333333,0.12499999999023437,0.624999999921875,0.4166666666666667,0.7916666666666666,0.46538461536851083,0.8571428571137756,0.9842424392700195
Fold 3,0.9840931296348572,0.6947368421052632,0.9190576776389132,0.625,0.763157894736842,0.5263157894459833,0.9999999998,0.9999999999,0.35714285711734695,0.6896551724137931,0.6803085299058582,10,5,0,9,0.4534940291906236,0.898148148148148,0.303260869551543,0.7499999999554687,0.9999999995,0.9999999998888889,0.9999999998,0.9999999999333333,0.12499999999023437,0.624999999921875,0.4166666666666667,0.7916666666666666,0.46538461536851083,0.8571428571137756,0.9840931296348572
Fold 4,0.7159488201141357,0.8210526315789473,0.9547536604669569,0.7083333333333334,0.8157894736842105,0.63157894733518,0.9999999998,0.9999999999166667,0.41666666663194446,0.7741935483870968,0.769864176528824,12,5,0,7,0.6205513784461152,0.9682539682539684,0.4210526315567867,0.8421052631135734,0.9999999995,0.9999999998888889,0.9999999998571428,0.9999999999411765,0.15384615383431952,0.7142857142346939,0.5416666666666666,0.875,0.5925925925706447,0.9142857142595919,0.7159488201141357
Fold 5,0.6528558135032654,0.8210526315789473,0.9576587995991683,0.7916666666666666,0.868421052631579,0.7368421052243768,0.9999999998,0.9999999999285715,0.49999999995,0.8484848484848485,0.8252791068144808,14,5,0,5,0.6340852130325815,0.968295739348371,0.5238095237845805,0.9374999999414062,0.9999999995,0.9999999998888889,0.9999999998888889,0.9999999999473684,0.19999999998,0.8219696968791896,0.625,0.9583333333333334,0.6874999999785157,0.9677419354526535,0.6528558135032654
Ensemble (@0.5),0.5,0.7578947368421052,0.9407911719974689,0.75,0.47368421052631576,0.9473684210027701,0.0,0.7826086956181475,0.0,0.8571428571428571,0.73533834584721,18,0,5,1,0.5534663865546219,0.9260233918128655,0.8235294117162629,0.999999999952381,0.0,0.0,0.6042490118311439,0.9166666666284722,0.0,0.0,0.5416666666666666,0.9166666666666666,0.7027027026837108,0.9565217391096409,0.5
Ensemble (@Youden),0.7712994813919067,0.7578947368421052,0.9407911719974689,0.7083333333333334,0.8157894736842105,0.63157894733518,0.9999999998,0.9999999999166667,0.41666666663194446,0.7741935483870968,0.7540747028446134,12,5,0,7,0.5534663865546219,0.9260233918128655,0.4210526315567867,0.8421052631135734,0.9999999995,0.9999999998888889,0.9999999998571428,0.9999999999411765,0.15384615383431952,0.7142857142346939,0.5416666666666666,0.875,0.5925925925706447,0.9142857142595919,0.7712994813919067
Ensemble (90+ Sens),0.48358088731765747,0.7578947368421052,0.9407911719974689,0.7916666666666666,0.5,0.9999999999473684,0.0,0.7916666666336806,0.0,0.8837209302325582,0.7604039167502448,19,0,5,0,0.5534663865546219,0.9260233918128655,0.9999999999333333,0.9999999999545455,0.0,0.0,0.6249999999739584,0.9166666666284722,0.0,0.0,0.625,0.9166666666666666,0.7692307692110454,0.9565217391096409,0.48358088731765747
