fold,threshold,auc_roc,auc_pr,accuracy,balanced_accuracy,sensitivity,specificity,ppv,npv,f1,composite,tp,tn,fp,fn,auc_ci_lo,auc_ci_hi,sens_ci_lo,sens_ci_hi,spec_ci_lo,spec_ci_hi,ppv_ci_lo,ppv_ci_hi,npv_ci_lo,npv_ci_hi,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,threshold_used
Fold 1,0.8693206310272217,0.831578947368421,0.958924774056353,0.75,0.8421052631578947,0.6842105262797784,0.9999999998,0.9999999999230769,0.45454545450413225,0.8125,0.8004934210100277,13,5,0,6,0.6388305322128851,0.9722222222222222,0.4499999999775,0.8888888888395061,0.9999999995,0.9999999998888889,0.999999999875,0.9999999999444444,0.16666666665277777,0.7499999999375,0.5833333333333334,0.9166666666666666,0.6206896551510107,0.9411764705605538,0.8693206310272217
Fold 2,0.7604207992553711,0.8842105263157896,0.972383810403201,0.8333333333333334,0.8947368421052632,0.7894736841689751,0.9999999998,0.9999999999333333,0.5555555554938272,0.8823529411764706,0.8679566563022063,15,5,0,4,0.7142857142857143,1.0,0.5789473683905817,0.9499999999525,0.9999999995,0.9999999998888889,0.9999999999,0.9999999999473684,0.2499999999375,0.874999999890625,0.6666666666666666,0.9583333333333334,0.7333333333088888,0.9743589743339909,0.7604207992553711
Fold 3,0.753002405166626,0.8421052631578947,0.9638507500635647,0.8333333333333334,0.8947368421052632,0.7894736841689751,0.9999999998,0.9999999999333333,0.5555555554938272,0.8823529411764706,0.8574303405127326,15,5,0,4,0.6631578947368421,0.9789473684210526,0.5789473683905817,0.9499999999525,0.9999999995,0.9999999998888889,0.9999999999,0.9999999999473684,0.2499999999375,0.874999999890625,0.6666666666666666,0.9583333333333334,0.7333333333088888,0.9743589743339909,0.753002405166626
Fold 4,0.8177240490913391,0.8947368421052632,0.9751357883873772,0.8333333333333334,0.8947368421052632,0.7894736841689751,0.9999999998,0.9999999999333333,0.5555555554938272,0.8823529411764706,0.8705882352495747,15,5,0,4,0.7368421052631579,1.0,0.5789473683905817,0.9499999999525,0.9999999995,0.9999999998888889,0.9999999999,0.9999999999473684,0.2499999999375,0.874999999890625,0.6666666666666666,0.9583333333333334,0.7333333333088888,0.9743589743339909,0.8177240490913391
Fold 5,0.8774943947792053,0.6736842105263158,0.9184121589532284,0.6666666666666666,0.7894736842105263,0.5789473683905817,0.9999999998,0.9999999999090909,0.3846153845857988,0.7333333333333333,0.7043859648716159,11,5,0,8,0.440953947368421,0.8736842105263157,0.3522058823329952,0.79999999996,0.9999999995,0.9999999998888889,0.9999999998333333,0.9999999999375,0.13333333332444444,0.6666666666111111,0.4583333333333333,0.8333333333333334,0.5209339774339022,0.8888888888641976,0.8774943947792053
Ensemble (@0.5),0.5,0.8526315789473684,0.9657230196703881,0.7916666666666666,0.5,0.9999999999473684,0.0,0.7916666666336806,0.0,0.8837209302325582,0.7840881272765606,19,0,5,0,0.6736842105263159,0.9789473684210527,0.9999999999333333,0.9999999999545455,0.0,0.0,0.6249999999739584,0.9166666666284722,0.0,0.0,0.625,0.9166666666666666,0.7692307692110454,0.9565217391096409,0.5
Ensemble (@Youden),0.8094790577888489,0.8526315789473684,0.9657230196703881,0.8333333333333334,0.8947368421052632,0.7894736841689751,0.9999999998,0.9999999999333333,0.5555555554938272,0.8823529411764706,0.860061919460101,15,5,0,4,0.6736842105263159,0.9789473684210527,0.5789473683905817,0.9499999999525,0.9999999995,0.9999999998888889,0.9999999999,0.9999999999473684,0.2499999999375,0.874999999890625,0.6666666666666666,0.9583333333333334,0.7333333333088888,0.9743589743339909,0.8094790577888489
Ensemble (90+ Sens),0.7261508107185364,0.8526315789473684,0.9657230196703881,0.7916666666666666,0.5736842105263158,0.9473684210027701,0.19999999996,0.8181818181446281,0.49999999975,0.8780487804878049,0.7942490372037628,18,1,4,1,0.6736842105263159,0.9789473684210527,0.8235294117162629,0.999999999952381,0.0,0.6666666664444444,0.6363636363347107,0.9565217390888469,0.0,0.9999999996666666,0.625,0.9166666666666666,0.7428571428359184,0.9565217391096409,0.7261508107185364
