Model,AUC,AUC_CI,Sensitivity,Sens_CI,Specificity,Spec_CI,F1,F1_CI,PPV,NPV,Accuracy,Brier,ECE,TP,TN,FP,FN,Threshold_Youden
SwinUNETR-LP,0.874,[0.715-1.000],0.789,[0.591-0.952],1.0,[1.000-1.000],0.882,[0.743-0.976],1.0,0.556,0.833,0.134,0.165,15,5,0,4,0.811
AG-MSF,0.821,[0.647-0.965],0.737,[0.529-0.929],1.0,[1.000-1.000],0.848,[0.692-0.963],1.0,0.5,0.792,0.132,0.135,14,5,0,5,0.803
MAE-Tiny3D,0.747,[0.547-0.926],0.632,[0.412-0.842],1.0,[1.000-1.000],0.774,[0.583-0.914],1.0,0.417,0.708,0.134,0.065,12,5,0,7,0.76
SegFormer3D-MSCA,0.8,[0.556-0.982],0.737,[0.526-0.909],0.8,[0.333-1.000],0.824,[0.661-0.941],0.933,0.444,0.75,0.18,0.201,14,4,1,5,0.608
